Race Date,Race Time,Meeting,Horse Name
2025-04-16,3:50,CHL,Loom
2025-04-16,1:50,NMK,Los Toldos
2025-04-16,5:27,GOW,Lossiemouth
2025-04-16,2:05,CHL,Lovero
2025-04-16,3:50,HAP,Loving Vibes
2025-04-16,2:45,HAP,Lucky Planet
2025-04-16,3:15,HAP,Lucky Sam Gor
2025-04-16,12:40,HAP,Lucky Touch
2025-04-16,3:50,HAP,Lunar Sovereign
2025-04-16,5:00,CHL,Maasai Mata
2025-04-16,1:40,BEV,Magnolia Drive
2025-04-16,2:32,GOW,Mahland
2025-04-16,3:15,CHL,Majestic Delight
2025-04-16,3:15,HAP,Majestic Wave
2025-04-16,1:50,NMK,Mallavelly
2025-04-16,4:17,GOW,Management Folks
2025-04-16,12:10,HAP,Manothepeople
2025-04-16,4:25,CHL,Marakesh
2025-04-16,4:17,GOW,Marioento
2025-04-16,4:32,BEV,Mary
2025-04-16,5:00,CHL,Marzanda
2025-04-16,3:07,GOW,Mask Of Zorro
2025-04-16,4:37,FFO,Mastastroque
2025-04-16,4:52,GOW,Matauri Bay
2025-04-16,3:35,NMK,Mathan
2025-04-16,1:57,GOW,Mega Bonus
2025-04-16,3:15,HAP,Melody Bells
2025-04-16,3:07,GOW,Midori Giant
2025-04-16,12:10,HAP,Mighty Commander
2025-04-16,1:40,HAP,Miss Abby Jools
2025-04-16,4:17,GOW,Miss Australie
2025-04-16,3:07,GOW,Miss Crinshawn
2025-04-16,3:42,GOW,Miss Information
2025-04-16,5:20,NMK,Moby Quick
2025-04-16,5:07,BEV,Modest Gentleman
2025-04-16,11:40,HAP,Molly Hall
2025-04-16,5:27,GOW,Money Catcher
2025-04-16,3:50,HAP,Monotone
2025-04-16,1:57,GOW,Moon D'Orange
2025-04-16,2:40,CHL,Moon Flight
2025-04-16,2:15,BEV,Morning Approach
2025-04-16,4:52,GOW,Moroder
2025-04-16,4:25,CHL,Mr Hope Street
2025-04-16,3:50,CHL,Muhaajim
2025-04-16,2:25,NMK,Murkala
2025-04-16,3:07,GOW,Musang King
2025-04-16,12:40,HAP,Museum Piece
2025-04-16,1:40,BEV,My Bobby Dazzler
2025-04-16,3:50,CHL,My Day My Way
2025-04-16,2:45,HAP,My Flying Angel
2025-04-16,3:15,HAP,Mystical Maria
2025-04-16,5:37,BEV,Nancy J
2025-04-16,1:57,GOW,Neo Smart
2025-04-16,4:17,GOW,Never Too Soon
2025-04-16,3:15,HAP,New Century
2025-04-16,3:35,NMK,Newfire
2025-04-16,4:52,GOW,Nibras Gold
2025-04-16,4:32,BEV,Ninth Loch
2025-04-16,6:45,FFO,No Such Thing
2025-04-16,2:32,GOW,Noble Go
2025-04-16,3:15,HAP,Noble Pursuit
2025-04-16,3:50,HAP,Norman Fletcher
2025-04-16,5:00,CHL,Northern Poet
2025-04-16,3:15,CHL,Northern Spirit
2025-04-16,2:50,BEV,Nostra Casa
2025-04-16,5:27,GOW,Not Just Any Eagle
2025-04-16,5:27,GOW,Notthesillyone
2025-04-16,11:40,HAP,Nucleozor
2025-04-16,2:10,HAP,Numidia
2025-04-16,4:52,GOW,O'Moore Park
2025-04-16,2:40,CHL,Opera Ballo
2025-04-16,3:35,NMK,Our Lucky Glory
2025-04-16,3:15,HAP,Ours De Soleil
2025-04-16,1:40,BEV,Out On Friday
2025-04-16,4:52,GOW,Owners' Praise
2025-04-16,12:40,HAP,Palamon
2025-04-16,5:27,GOW,Patch Of Watch
2025-04-16,11:40,HAP,Pauline's Dream
2025-04-16,4:52,GOW,Pegasus General
2025-04-16,12:10,HAP,Pennant Legacy
2025-04-16,7:15,FFO,Perfect Pairing
2025-04-16,12:10,HAP,Perfect Pupil
2025-04-16,7:15,FFO,Persian Vision
2025-04-16,2:25,NMK,Pilsdon Pen
2025-04-16,6:15,FFO,Pink Oxalis
2025-04-16,4:17,GOW,Planned Paradise
2025-04-16,3:15,CHL,Pleasington
2025-04-16,1:30,CHL,Plymouth Brethren
2025-04-16,4:45,NMK,Pomme Pomme
2025-04-16,3:25,BEV,Pony Soprano
2025-04-16,6:45,FFO,Power Koepp
2025-04-16,1:10,HAP,Power Of Prayer
2025-04-16,2:32,GOW,Prankster
2025-04-16,2:25,NMK,Prime Sign
2025-04-16,3:07,GOW,Prince Achille
2025-04-16,4:32,BEV,Push The Limit
2025-04-16,4:45,NMK,Pyleigh Master
2025-04-16,5:12,FFO,Qingyuan Star
2025-04-16,1:40,HAP,Queens Fury
2025-04-16,1:57,GOW,Queens Venture
2025-04-16,5:45,FFO,Quinn's Reward
2025-04-16,4:37,FFO,Radiant Swift
2025-04-16,1:40,HAP,Ragga Bomb
2025-04-16,3:50,HAP,Ragnarr
2025-04-16,11:40,HAP,Rampage
2025-04-16,4:52,GOW,Reallyntruthfully
2025-04-16,2:05,CHL,Record High
2025-04-16,7:15,FFO,Regarde
2025-04-16,3:15,CHL,Reponse Finale
2025-04-16,3:42,GOW,Ribean
2025-04-16,3:42,GOW,Rightsotom
